Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22034,"The Godfather (The Godfather, #1)",Mario Puzo,"Puzo, Mario","Robert Thompson, Peter Bart",,,5,4.36,NAL,Paperback,448,2002,1969,,28/05/2017,,,read,,,,1,,,0,,,,,
2932,Robinson Crusoe (Robinson Crusoe #1),Daniel Defoe,"Defoe, Daniel","Virginia Woolf, Franciszek Mirandola",,,5,3.68,Modern Library,Paperback,320,2001,1719,,28/05/2017,,,read,,,,1,,,0,,,,,
43763,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"Rice, Anne",,345476875,9.78035E+12,4,4,Ballantine Books,Paperback,342,2004,1976,,28/05/2017,,,read,,,,1,,,0,,,,,
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,439023513,9.78044E+12,5,4.05,Scholastic Press,Hardcover,398,2010,2010,,28/05/2017,,,read,,,,1,,,0,,,,,
7190,"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas,"Dumas, Alexandre",,,,5,4.07,Modern Library,Paperback,625,2001,1844,,28/05/2017,,,read,,,,1,,,0,,,,,
1852,The Call of the Wild,Jack London,"London, Jack",Avi,439227143,9.78044E+12,3,3.88,Scholastic,Mass Market Paperback,172,2001,1903,,28/05/2017,,,read,,,,1,,,0,,,,,
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,,,5,3.87,Anchor,Paperback,489,2006,2003,,28/05/2017,,,read,,,,1,,,0,,,,,
46787,Uncle Tom's Cabin,Harriet Beecher Stowe,"Stowe, Harriet Beecher",,,,4,3.87,Wordsworth Classics,Paperback,438,1999,1851,,28/05/2017,,,read,,,,1,,,0,,,,,
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,140449264,9.78014E+12,4,4.26,Penguin Classics,Paperback,1138,2003,1844,,28/05/2017,,,read,,,,1,,,0,,,,,
24583,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye",143039563,9.78014E+12,5,3.92,Penguin Classics,Paperback,244,2006,1876,,28/05/2017,,,read,,,,1,,,0,,,,,
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.",,,,4,4.22,HarperCollins Publishers,Paperback,206,2005,1950,,28/05/2017,,,read,,,,1,,,0,,,,,
5479,Brave New World / Brave New World Revisited,Aldous Huxley,"Huxley, Aldous",Christopher Hitchens,60776099,9.78006E+12,5,4.17,Harper Perennial Modern Classics,Paperback,340,2005,1958,,28/05/2017,,,read,,,,1,,,0,,,,,
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,439023483,9.78044E+12,5,4.32,Scholastic Press,Hardcover,374,2008,2008,,28/05/2017,,,read,,,,1,,,0,,,,,
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,316769177,9.78032E+12,2,3.81,Back Bay Books,Paperback,277,2001,1951,,28/05/2017,,,read,,,,1,,,0,,,,,
149049,The Fountains of Paradise,Arthur C. Clarke,"Clarke, Arthur C.",,446677949,9.78045E+12,4,3.96,Aspect,Paperback,352,2001,1979,,28/05/2017,,,read,,,,1,,,0,,,,,
21611,"The Forever War (The Forever War, #1)",Joe Haldeman,"Haldeman, Joe",,60510862,9.78006E+12,5,4.14,Voyager,Paperback,278,2003,1974,,28/05/2017,,,read,,,,1,,,0,,,,,
15768160,Do Światła (Uniwersum «Metro 2033»),Andrey Dyakov,"Dyakov, Andrey","Илья Яцкевич, Paweł Podmiotko",,9.78836E+12,5,3.84,Insignis,Paperback,326,2012,2010,,28/05/2017,,,read,,,,1,,,0,,,,,
342445,The Dark Tower: The Gunslinger Born,Peter David,"David, Peter","Robin Furth, Jae Lee, Richard Isanove, Stephen King",785121447,9.78079E+12,5,4.21,Marvel Comics,Hardcover,240,2007,2006,,28/05/2017,,,read,,,,1,,,0,,,,,
16045091,"Reviver (Reviver Trilogy, #1)",Seth Patrick,"Patrick, Seth",,1250021707,9.78125E+12,5,3.6,Thomas Dunne Books,Hardcover,406,2013,,,25/04/2017,,,read,,,,1,,,0,,,,,
20926278,Revival,Stephen King,"King, Stephen",,1476770387,9.78148E+12,5,3.78,Scribner Book Company,Hardcover,405,2014,2014,,25/04/2017,,,read,,,,1,,,0,,,,,
11125,Digital Fortress,Dan Brown,"Brown, Dan",,,,4,3.67,Corgi books,Paperback,510,2004,1998,,25/04/2017,,,read,,,,1,,,0,,,,,
17212231,"Inferno (Robert Langdon, #4)",Dan Brown,"Brown, Dan",,385537859,9.78039E+12,4,3.86,Doubleday,Hardcover,463,2013,2013,,25/04/2017,,,read,,,,1,,,0,,,,,
893590,"Diamond Dogs, Turquoise Days",Alastair Reynolds,"Reynolds, Alastair",,575075163,9.78058E+12,5,3.97,Gollancz,Paperback,231,2003,2003,,25/04/2017,,,read,,,,1,,,0,,,,,
7745031,"Zero History (Blue Ant, #3)",William Gibson,"Gibson, William",,399156828,9.7804E+12,4,3.95,Putnam Adult,Hardcover,404,2010,2010,,25/04/2017,,,read,,,,1,,,0,,,,,
18490786,"Robogenesis (Robopocalypse, #2)",Daniel H. Wilson,"Wilson, Daniel H.",,385537093,9.78039E+12,5,3.7,Doubleday,Hardcover,362,2014,2014,,25/04/2017,,,read,,,,1,,,0,,,,,
3428935,"The Warded Man (Demon Cycle, #1)",Peter V. Brett,"Brett, Peter V.",,345503805,9.78035E+12,5,4.23,Random House,Hardcover,416,2009,2008,,25/04/2017,,,read,,,,1,,,0,,,,,
22926906,"Apex (Nexus, #3)",Ramez Naam,"Naam, Ramez",,857664026,9.78086E+12,5,4.17,Angry Robot,ebook,608,2015,2015,,25/04/2017,,,read,,,,1,,,0,,,,,
156780,Schild's Ladder,Greg Egan,"Egan, Greg",,006107344X,9.78006E+12,4,3.94,Eos,Paperback,352,2004,2002,,25/04/2017,,,read,,,,1,,,0,,,,,
64818,"Reflex (Jumper, #2)",Steven Gould,"Gould, Steven",,812578546,9.78081E+12,3,3.97,Tor Science Fiction,Paperback,380,2005,2004,,25/04/2017,,,read,,,,1,,,0,,,,,
18114057,Influx,Daniel Suarez,"Suarez, Daniel",,525953183,9.78053E+12,4,3.92,Dutton,Hardcover,406,2014,2014,,25/04/2017,,,read,,,,1,,,0,,,,,
12678461,Amped,Daniel H. Wilson,"Wilson, Daniel H.",,385535155,9.78039E+12,4,3.48,Doubleday,Hardcover,274,2012,2012,,25/04/2017,,,read,,,,1,,,0,,,,,
721419,The City of Ember,Jeanne DuPrau,"DuPrau, Jeanne",Wendy Dillon,739331671,9.78074E+12,5,3.86,Listening Library (Audio),Audio CD,7,2006,2003,,25/04/2017,,,read,,,,1,,,0,,,,,
7747374,"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore,"Lore, Pittacus",,61969559,9.78006E+12,5,3.93,HarperCollins,Hardcover,440,2010,2010,,25/04/2017,,,read,,,,1,,,0,,,,,
5558786,"Metro 2033 (Metro, #1)",Dmitry Glukhovsky,"Glukhovsky, Dmitry",M. David Drevs,3453532988,9.78345E+12,5,4,Heyne Verlag,Paperback,764,2008,2002,,25/04/2017,,,read,,,,1,,,0,,,,,
7134997,Terminal World,Alastair Reynolds,"Reynolds, Alastair",,441018661,9.78044E+12,4,3.74,Ace Books,Hardcover,487,2010,2010,,25/04/2017,,,read,,,,1,,,0,,,,,
6320534,Under the Dome,Stephen King,"King, Stephen",,1439148503,9.78144E+12,3,3.91,Scribner,Hardcover,1074,2009,2009,,25/04/2017,,,read,,,,1,,,0,,,,,
9634967,"Robopocalypse (Robopocalypse, #1)",Daniel H. Wilson,"Wilson, Daniel H.",,385533853,9.78039E+12,5,3.69,Doubleday,Audiobook,347,2011,2011,,25/04/2017,,,read,,,,1,,,0,,,,,
22320,"Pattern Recognition (Blue Ant, #1)",William Gibson,"Gibson, William",,425198685,9.78043E+12,5,3.85,Berkley Books,Mass Market Paperback,367,2005,2003,,25/04/2017,,,read,,,,1,,,0,,,,,
10644930,11/22/63,Stephen King,"King, Stephen",,1451627289,9.78145E+12,5,4.3,Scribner,Hardcover,849,2011,2011,,25/04/2017,,,read,,,,1,,,0,,,,,
761154,The Reality Dysfunction 1: Emergence (Night's Dawn 1),Peter F. Hamilton,"Hamilton, Peter F.",,446605158,9.78045E+12,5,4.26,Warner Books Inc,Mass Market Paperback,592,1997,1997,,24/04/2017,,,read,,,,1,,,0,,,,,
50851,Farmer in the Sky,Robert A. Heinlein,"Heinlein, Robert A.",,345324382,9.78035E+12,4,3.76,Del Rey,Mass Market Paperback,224,1975,1950,,24/04/2017,,,read,,,,1,,,0,,,,,
5367,"The Great Book of Amber (The Chronicles of Amber, #1-10)",Roger Zelazny,"Zelazny, Roger",Tim          White,380809060,9.78038E+12,5,4.31,Avon-Eos,Paperback,1258,1999,1999,,24/04/2017,,,read,,,,1,,,0,,,,,
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de","Richard Howard, ابوالحسن نجفی, Ivan Minatti, Nguyễn Thành Vũ",,,4,4.31,"Harcourt, Inc.",Paperback,93,2000,1943,,24/04/2017,,,read,,,,1,,,0,,,,,
337132,Flashforward,Robert J. Sawyer,"Sawyer, Robert J.",,812580346,9.78081E+12,4,3.64,Tor Books,Paperback,320,2000,1999,,24/04/2017,,,read,,,,1,,,0,,,,,
43615,The Gunslinger,Stephen King,"King, Stephen",,,,5,3.94,Plume,Paperback,231,2003,1982,,24/04/2017,,,read,,,,1,,,0,,,,,
479561,"The Neutronium Alchemist (Night's Dawn, #2)",Peter F. Hamilton,"Hamilton, Peter F.",,330351435,9.78033E+12,5,4.26,Pan Books,Paperback,1273,1998,1997,,24/04/2017,,,read,,,,1,,,0,,,,,
47970,"Jumper (Jumper, #1)",Steven Gould,"Gould, Steven",,765342286,9.78077E+12,4,3.91,Starscape,Paperback,345,2002,1992,,24/04/2017,,,read,,,,1,,,0,,,,,
816,Cryptonomicon,Neal Stephenson,"Stephenson, Neal",,,,5,4.24,Avon,Mass Market Paperback,1152,2002,1999,,24/04/2017,,,read,,,,1,,,0,,,,,
92121,Nine Princes in Amber (The Chronicles of Amber #1),Roger Zelazny,"Zelazny, Roger",Tim          White,380014300,9.78038E+12,5,4.05,Avon,Mass Market Paperback,175,1986,1970,,24/04/2017,,,read,,,,1,,,0,,,,,
17245,Dracula,Bram Stoker,"Stoker, Bram","Nina Auerbach, David J. Skal",393970124,9.78039E+12,4,4,Norton,Paperback,488,1986,1897,,24/04/2017,,,read,,,,1,,,0,,,,,
77504,"Blue Mars (Mars Trilogy, #3)",Kim Stanley Robinson,"Robinson, Kim Stanley",,553573357,9.78055E+12,5,3.94,Bantam Doubleday Dell Publishing Group Ltd.,Mass Market Paperback,768,1997,1996,,24/04/2017,,,read,,,,1,,,0,,,,,
77505,"Green Mars (Mars Trilogy, #2)",Kim Stanley Robinson,"Robinson, Kim Stanley",,553572393,9.78055E+12,5,3.94,Spectra Books,Mass Market Paperback,624,1993,1993,,24/04/2017,,,read,,,,1,,,0,,,,,
16683,"Tunnel in the Sky (Heinlein's Juveniles, #9)",Robert A. Heinlein,"Heinlein, Robert A.",,1416505512,9.78142E+12,4,3.94,Pocket Books,Paperback,262,2005,1955,,24/04/2017,,,read,,,,1,,,0,,,,,
22200,"Count Zero (Sprawl, #2)",William Gibson,"Gibson, William",,441013678,9.78044E+12,4,4.01,Ace Books,Paperback,308,2006,1986,,24/04/2017,,,read,,,,1,,,0,,,,,
45107,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,"Hobb, Robin",,6480098,9.78001E+12,5,4.15,Voyager,Mass Market Paperback,460,1996,1995,,24/04/2017,,,read,,,,1,,,0,,,,,
16689,Citizen of the Galaxy,Robert A. Heinlein,"Heinlein, Robert A.",,1416505520,9.78142E+12,5,4,Pocket Books: Gallery Books,Paperback,288,2005,1957,,24/04/2017,,,read,,,,1,,,0,,,,,
14185,The Three Stigmata of Palmer Eldritch,Philip K. Dick,"Dick, Philip K.",,1407247425,9.78141E+12,5,4.01,Gollancz,Paperback,231,2010,1965,,24/04/2017,,,read,,,,1,,,0,,,,,
7171856,The Puppet Masters,Robert A. Heinlein,"Heinlein, Robert A.",,143913376X,9.78144E+12,4,3.88,Baen,Paperback,416,2010,1951,,24/04/2017,,,read,,,,1,,,0,,,,,
